04-02-63, 15:28:09.845, Info, U.DumpProcessUsage, 1, Dumping Processes at AppSetup1.  Current total CPU Usage=,21.359%, time since last=,512.8
04-02-63, 15:28:13.930, Info, U.DumpProcessUsage, 1, Time to getProceses = 4,094.69 mS
04-02-63, 15:28:14.343, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Autodesk Desktop App Service'
04-02-63, 15:28:14.363, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Autodesk Desktop Licensing Service'
04-02-63, 15:28:14.383, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'AMD External Events Utility'
04-02-63, 15:28:14.402, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Application Information'
04-02-63, 15:28:14.421, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'AtherosSvc'
04-02-63, 15:28:14.437, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows Audio Endpoint Builder'
04-02-63, 15:28:14.456, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows Audio'
04-02-63, 15:28:14.477, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Base Filtering Engine'
04-02-63, 15:28:14.502, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Background Intelligent Transfer Service'
04-02-63, 15:28:14.524, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Bonjour Service'
04-02-63, 15:28:14.553, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Background Tasks Infrastructure Service'
04-02-63, 15:28:14.576, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Bluetooth Audio Gateway Service'
04-02-63, 15:28:14.598, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'AVCTP service'
04-02-63, 15:28:14.621, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Bluetooth Support Service'
04-02-63, 15:28:14.637, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Capability Access Manager Service'
04-02-63, 15:28:14.659, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Connected Devices Platform Service'
04-02-63, 15:28:14.690, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Certificate Propagation'
04-02-63, 15:28:14.717, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Microsoft Office Click-to-Run Service'
04-02-63, 15:28:14.741, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Client License Service (ClipSVC)'
04-02-63, 15:28:14.761, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'CoreMessaging'
04-02-63, 15:28:14.781, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Intel(R) Content Protection HECI Service'
04-02-63, 15:28:14.800, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Intel(R) Content Protection HDCP Service'
04-02-63, 15:28:14.821, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Cryptographic Services'
04-02-63, 15:28:14.837, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'DCOM Server Process Launcher'
04-02-63, 15:28:14.850, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Device Association Service'
04-02-63, 15:28:14.869, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'DHCP Client'
04-02-63, 15:28:14.889, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Connected User Experiences and Telemetry'
04-02-63, 15:28:14.911, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Display Policy Service'
04-02-63, 15:28:14.935, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Display Enhancement Service'
04-02-63, 15:28:14.955, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'DNS Client'
04-02-63, 15:28:14.979, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Delivery Optimization'
04-02-63, 15:28:14.999, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Diagnostic Policy Service'
04-02-63, 15:28:15.019, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Data Usage'
04-02-63, 15:28:15.039, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'E-MailRelay'
04-02-63, 15:28:15.055, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'ESIF Upper Framework Service'
04-02-63, 15:28:15.074, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows Event Log'
04-02-63, 15:28:15.090, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'COM+ Event System'
04-02-63, 15:28:15.109, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Function Discovery Provider Host'
04-02-63, 15:28:15.137, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'FlexNet Licensing Service'
04-02-63, 15:28:15.161, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows Font Cache Service'
04-02-63, 15:28:15.182, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows Presentation Foundation Font Cache 3.0.0.0'
04-02-63, 15:28:15.199, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Group Policy Client'
04-02-63, 15:28:15.215, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Sentinel HASP License Manager'
04-02-63, 15:28:15.234, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Human Interface Device Service'
04-02-63, 15:28:15.249, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Intel(R) HD Graphics Control Panel Service'
04-02-63, 15:28:15.263, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'IKE and AuthIP IPsec Keying Modules'
04-02-63, 15:28:15.281, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Microsoft Store Install Service'
04-02-63, 15:28:15.300, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'IP Helper'
04-02-63, 15:28:15.317, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'CNG Key Isolation'
04-02-63, 15:28:15.338, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Server'
04-02-63, 15:28:15.361, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Workstation'
04-02-63, 15:28:15.380, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Geolocation Service'
04-02-63, 15:28:15.828, Info, U.DumpProcessUsage, 1, ** Service threw exception: 'Windows License Manager Service'
